"species","decimalLongitude","decimalLatitude","year"
"410","Cardinalis cardinalis",-89.001953,40.52502,2024
"411","Cardinalis cardinalis",-87.353207,34.697435,2024
"412","Cardinalis cardinalis",-99.801535,30.43062,2024
"413","Cardinalis cardinalis",-76.527657,38.458466,2024
"414","Cardinalis cardinalis",-74.002105,40.681831,2024
"415","Cardinalis cardinalis",-83.292907,33.954415,2024
"416","Cardinalis cardinalis",-86.71271,35.23661,2024
"417","Cardinalis cardinalis",-86.712285,35.237337,2024
"418","Cardinalis cardinalis",-111.853737,33.622178,2024
"419","Cardinalis cardinalis",-97.106207,32.681345,2024
"420","Cardinalis cardinalis",-86.754653,35.96978,2024
"421","Cardinalis cardinalis",-73.18297,44.272308,2024
"422","Cardinalis cardinalis",-83.994637,42.474374,2024
"423","Cardinalis cardinalis",-98.245872,29.607078,2024
"424","Cardinalis cardinalis",-81.311968,42.929547,2024
"425","Cardinalis cardinalis",-81.310775,42.930263,2024
"426","Cardinalis cardinalis",-78.607765,34.634177,2024
"427","Cardinalis cardinalis",-99.008271,23.792115,2024
"428","Cardinalis cardinalis",-84.614113,40.111542,2024
"429","Cardinalis cardinalis",-98.245863,29.607083,2024
"430","Cardinalis cardinalis",-83.503972,40.671213,2024
"431","Cardinalis cardinalis",-88.217404,40.105255,2024
"432","Cardinalis cardinalis",-91.106727,30.368313,2024
"433","Cardinalis cardinalis",-77.001873,39.921186,2024
"434","Cardinalis cardinalis",-81.382525,44.434155,2024
"435","Cardinalis cardinalis",-77.001874,39.92119,2024
"436","Cardinalis cardinalis",-86.188208,41.665581,2024
"437","Cardinalis cardinalis",-77.001866,39.921184,2024
"438","Cardinalis cardinalis",-77.00187,39.921182,2024
"439","Cardinalis cardinalis",-77.001955,39.921228,2024
"440","Cardinalis cardinalis",-77.001855,39.921168,2024
"441","Cardinalis cardinalis",-97.81243,30.65105,2024
"442","Cardinalis cardinalis",-97.81243,30.65105,2024
"443","Cardinalis cardinalis",-97.81243,30.65105,2024
"444","Cardinalis cardinalis",-97.81243,30.65105,2024
"445","Cardinalis cardinalis",-77.240815,38.920284,2024
"446","Cardinalis cardinalis",-91.127071,38.59259,2024
"447","Cardinalis cardinalis",-87.877747,41.7093,2024
"448","Cardinalis cardinalis",-97.145751,33.023922,2024
"449","Cardinalis cardinalis",-79.358799,43.73093,2024
"450","Cardinalis cardinalis",-79.358799,43.73093,2024
"451","Cardinalis cardinalis",-79.358799,43.73093,2024
"452","Cardinalis cardinalis",-74.846195,40.623141,2024
"453","Cardinalis cardinalis",-71.148432,42.395968,2024
"454","Cardinalis cardinalis",-80.135875,42.142154,2024
"455","Cardinalis cardinalis",-80.388363,37.353013,2024
